country,country_code,region_wb,income_level,hut_daly_per_usd,hut_usd_per_usd,unit,capital,pathway,source
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2.0178527922147823e-05,1.1995327708599994,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Niger,NER,Sub-Saharan Africa,Low income,8.423477827006963e-07,0.050074206290425596,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,0.0,0.0,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
North Macedonia,MKD,Europe & Central Asia,Upper middle income,1.57188453653185e-05,0.9344224815867235,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Norway,NOR,Europe & Central Asia,High income,2.047110810006871e-05,1.2169254921166845,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Oman,OMN,Middle East & North Africa,High income,4.991550976180072e-06,0.2967277393300006,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Pakistan,PAK,South Asia,Lower middle income,2.911155849952069e-06,0.17305657065625069,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Panama,PAN,Latin America & Caribbean,High income,3.082663892782616e-05,1.832520377703554,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,3.4967027850536157e-06,0.20786499376029724,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Paraguay,PRY,Latin America & Caribbean,Upper middle income,9.691772555900016e-06,0.5761371113580324,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Peru,PER,Latin America & Caribbean,Upper middle income,1.5095177853936103e-05,0.8973479427050856,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Philippines,PHL,East Asia & Pacific,Lower middle income,5.706148573407158e-06,0.3392077080947619,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Poland,POL,Europe & Central Asia,High income,1.518145816640535e-05,0.9024769621601325,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Portugal,PRT,Europe & Central Asia,High income,3.790828241920153e-05,2.253495756691854,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
