country,country_code,region,income_group,skill_level,wage_usd_year,unit,capital,pathway,source
Brunei Darussalam,BRN,East Asia & Pacific,High income,medium,12005.024091201347,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Brunei Darussalam,BRN,East Asia & Pacific,High income,high,25232.279141914143,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Bhutan,BTN,South Asia,Lower middle income,low,767.5422263171961,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Bhutan,BTN,South Asia,Lower middle income,medium,1712.5743584553152,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Bhutan,BTN,South Asia,Lower middle income,high,7428.833233710832,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Botswana,BWA,Sub-Saharan Africa,Upper middle income,low,1079.6710634570084,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Botswana,BWA,Sub-Saharan Africa,Upper middle income,medium,2486.363882550706,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Botswana,BWA,Sub-Saharan Africa,Upper middle income,high,15564.737758738607,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Central African Republic,CAF,Sub-Saharan Africa,Low income,low,65.50904154156548,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Central African Republic,CAF,Sub-Saharan Africa,Low income,medium,192.777448846223,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Central African Republic,CAF,Sub-Saharan Africa,Low income,high,1520.1626744258224,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Canada,CAN,North America,High income,low,20000.45261912031,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Canada,CAN,North America,High income,medium,34068.907267038616,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Canada,CAN,North America,High income,high,80302.41848177866,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Switzerland,CHE,Europe & Central Asia,High income,low,41649.43499869855,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Switzerland,CHE,Europe & Central Asia,High income,medium,70759.70913108846,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Switzerland,CHE,Europe & Central Asia,High income,high,173183.96590437045,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Channel Islands,CHI,Europe & Central Asia,High income,low,32527.18038038091,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
